,Actual Arr Time (Local),Actual Arr Time (UTC),Actual Dep Time (Local),Actual Dep Time (UTC),Actual Duration,Aircraft,Airline,Arr Airport,Arr City,Arr Connect,Arr Country,Arr Delay,Arr Lat,Arr Long,Arr Name,Arr Timezone,Class,Date,Dep Airport,Dep City,Dep Country,Dep Delay,Dep Lat,Dep Long,Dep Name,Dep Timezone,Distance,Domestic/International,Duration,Flight,Registration,Scheduled Arr Time (Local),Scheduled Arr Time (UTC),Scheduled Dep Time (Local),Scheduled Dep Time (UTC),Scheduled Duration,Seat,Timing Data,Unnamed: 18,Last flight arrival (UTC),Time since last flight
0,2015-03-08 09:42:00,2015-03-08 13:42:00,2015-03-08 08:52:00,2015-03-08 12:52:00,00:50:00,B738,United,EWR,Newark,1.0,United States,-19.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Recliner First,2015-03-08 00:00:00,BOS,Boston,United States,18.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,200.54071928173732,Domestic,50.0,UA1711,N54241,2015-03-08 10:01:00,2015-03-08 14:01:00,2015-03-08 08:34:00,2015-03-08 12:34:00,01:27:00,,FlightStats,,,
1,2015-03-09 15:10:00,2015-03-09 07:10:00,2015-03-08 13:40:00,2015-03-08 17:40:00,13:30:00,B772,United,PEK,Beijing,,China,10.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2015-03-08 00:00:00,EWR,Newark,United States,45.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,6830.922823928072,International,810.0,UA89,N78005,2015-03-09 15:00:00,2015-03-09 07:00:00,2015-03-08 12:55:00,2015-03-08 16:55:00,14:05:00,,FlightStats,,2015-03-08 13:42:00,0 days 03:58:00
2,2015-03-19 18:15:00,2015-03-19 22:15:00,2015-03-19 17:24:00,2015-03-19 09:24:00,12:51:00,B772,United,EWR,Newark,1.0,United States,-30.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Economy,2015-03-19 00:00:00,PEK,Beijing,China,24.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6830.922823928072,International,771.0,UA88,N78005,2015-03-19 18:45:00,2015-03-19 22:45:00,2015-03-19 17:00:00,2015-03-19 09:00:00,13:45:00,,FlightStats,,2015-03-08 07:10:00,11 days 02:14:00
3,2015-03-19 22:03:00,2015-03-20 02:03:00,2015-03-19 21:21:00,2015-03-20 01:21:00,00:42:00,B734,United,BOS,Boston,,United States,17.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Economy,2015-03-19 00:00:00,EWR,Newark,United States,49.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,200.54071928173732,Domestic,42.0,UA1409,N87512,2015-03-19 21:46:00,2015-03-20 01:46:00,2015-03-19 20:32:00,2015-03-20 00:32:00,01:14:00,,FlightStats,,2015-03-19 22:15:00,0 days 03:06:00
4,2015-07-05 20:30:00,2015-07-06 03:30:00,2015-07-05 18:00:00,2015-07-05 22:00:00,05:30:00,A320,JetBlue,LAX,Los Angeles,,United States,-15.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,Economy,2015-07-05 00:00:00,BOS,Boston,United States,33.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,2611.1320579472062,Domestic,330.0,B6487,N775JB,2015-07-05 20:45:00,2015-07-06 03:45:00,2015-07-05 17:27:00,2015-07-05 21:27:00,06:18:00,20E,FlightStats,,2015-03-20 02:03:00,107 days 19:57:00
5,2015-08-01 19:59:00,2015-08-01 23:59:00,2015-08-01 12:10:00,2015-08-01 19:10:00,04:49:00,A320,JetBlue,BOS,Boston,,United States,-6.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Economy,2015-08-01 00:00:00,LAX,Los Angeles,United States,35.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,2611.1320579472062,Domestic,289.0,B6488,N590JB,2015-08-01 20:05:00,2015-08-02 00:05:00,2015-08-01 11:35:00,2015-08-01 18:35:00,05:30:00,15E,FlightStats,,2015-07-06 03:30:00,26 days 15:40:00
6,2015-12-18 09:29:00,2015-12-18 14:29:00,2015-12-18 08:35:00,2015-12-18 13:35:00,00:54:00,B733,United,EWR,Newark,1.0,United States,5.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Recliner First,2015-12-18 00:00:00,BOS,Boston,United States,45.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,200.54071928173732,Domestic,54.0,UA1928,N76503,2015-12-18 09:24:00,2015-12-18 14:24:00,2015-12-18 07:50:00,2015-12-18 12:50:00,01:34:00,,FlightStats,,2015-08-01 23:59:00,138 days 13:36:00
7,2015-12-19 14:41:00,2015-12-19 06:41:00,2015-12-18 12:19:00,2015-12-18 17:19:00,13:22:00,B772,United,PEK,Beijing,,China,-19.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2015-12-18 00:00:00,EWR,Newark,United States,19.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,6830.922823928072,International,802.0,UA89,N78008,2015-12-19 15:00:00,2015-12-19 07:00:00,2015-12-18 12:00:00,2015-12-18 17:00:00,14:00:00,,FlightStats,,2015-12-18 14:29:00,0 days 02:50:00
8,,,,,03:50:00,,,SYX,Sanya,,China,,18.30290031,109.4120026,Sanya Phoenix International Airport,Asia/Shanghai,Economy,2015-12-20 00:00:00,PEK,Beijing,China,,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,1559.8899168681107,Domestic,230.0,,,,,,,,,FlightStats,,2015-12-18 06:41:00,
9,,,,,03:15:00,,,PEK,Beijing,,China,,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2015-12-24 00:00:00,SYX,Sanya,China,,18.30290031,109.4120026,Sanya Phoenix International Airport,Asia/Shanghai,1559.8899168681107,Domestic,195.0,,,,,,,,,FlightStats,,,
10,2016-01-02 18:23:00,2016-01-02 23:23:00,2016-01-02 18:48:00,2016-01-02 10:48:00,12:35:00,B772,United,IAD,Washington,1.0,United States,-42.0,38.94449997,-77.45580292,Washington Dulles International Airport,America/New_York,Economy,2016-01-02 00:00:00,PEK,Beijing,China,23.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6920.750901232862,International,755.0,UA808,N222UA,2016-01-02 19:05:00,2016-01-03 00:05:00,2016-01-02 18:25:00,2016-01-02 10:25:00,13:40:00,,FlightStats,,,
11,2016-01-02 23:36:00,2016-01-03 04:36:00,2016-01-02 22:32:00,2016-01-03 03:32:00,01:04:00,A320,United,BOS,Boston,,United States,-22.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Economy,2016-01-02 00:00:00,IAD,Washington,United States,7.0,38.94449997,-77.45580292,Washington Dulles International Airport,America/New_York,412.8361906212218,Domestic,64.0,UA352,N448UA,2016-01-02 23:58:00,2016-01-03 04:58:00,2016-01-02 22:25:00,2016-01-03 03:25:00,01:33:00,,FlightStats,,2016-01-02 23:23:00,0 days 04:09:00
12,2016-03-14 18:24:00,2016-03-14 10:24:00,2016-03-13 16:58:00,2016-03-13 20:58:00,13:26:00,B788,Hainan,PEK,Beijing,,China,-41.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Lie-flat Business,2016-03-13 00:00:00,BOS,Boston,United States,8.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,6736.622182955974,International,806.0,HU482,B2731,2016-03-14 19:05:00,2016-03-14 11:05:00,2016-03-13 16:50:00,2016-03-13 20:50:00,14:15:00,,FlightStats,,2016-01-03 04:36:00,70 days 16:22:00
13,2016-03-16 12:20:00,2016-03-16 04:20:00,2016-03-16 09:35:00,2016-03-16 01:35:00,02:50:00,B738,Hainan,KWL,Guilin,,China,-20.0,25.21809959,110.0390015,Guilin Liangjiang International Airport,Asia/Shanghai,Economy,2016-03-16 00:00:00,PEK,Beijing,China,0.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,1092.0799049842772,Domestic,170.0,HU7215,B5089,2016-03-16 12:40:00,2016-03-16 04:40:00,2016-03-16 09:35:00,2016-03-16 01:35:00,03:05:00,,FlightStats,,2016-03-13 10:24:00,2 days 15:11:00
14,2016-03-19 12:03:00,2016-03-19 04:03:00,2016-03-19 10:35:00,2016-03-19 02:35:00,01:28:00,A320,China Southern,CTU,Chengdu,,China,-2.0,30.57850075,103.9469986,Chengdu Shuangliu International Airport,Asia/Shanghai,Economy,2016-03-19 00:00:00,KWL,Guilin,China,15.0,25.21809959,110.0390015,Guilin Liangjiang International Airport,Asia/Shanghai,524.3333577970873,Domestic,88.0,CZ6709,B1805,2016-03-19 12:05:00,2016-03-19 04:05:00,2016-03-19 10:20:00,2016-03-19 02:20:00,01:45:00,,FlightStats,,2016-03-16 04:20:00,2 days 22:15:00
15,2016-03-21 08:06:00,2016-03-21 00:06:00,2016-03-21 07:00:00,2016-03-20 23:00:00,01:06:00,A319,Sichuan,LHW,Lanzhou,1.0,China,1.0,36.51520157,103.6200027,Lanzhou Zhongchuan Airport,Asia/Shanghai,Economy,2016-03-21 00:00:00,CTU,Chengdu,China,10.0,30.57850075,103.9469986,Chengdu Shuangliu International Airport,Asia/Shanghai,409.58640767557296,Domestic,66.0,3U8569,,2016-03-21 08:05:00,2016-03-21 00:05:00,2016-03-21 06:50:00,2016-03-20 22:50:00,01:15:00,,FlightStats,,2016-03-19 04:03:00,1 days 18:57:00
16,2016-03-21 10:22:00,2016-03-21 02:22:00,2016-03-21 09:06:00,2016-03-21 01:06:00,01:16:00,A319,Sichuan,DNH,Dunhuang,,China,-8.0,40.16109848,94.80919647,Dunhuang Airport,Asia/Shanghai,Economy,2016-03-21 00:00:00,LHW,Lanzhou,China,16.0,36.51520157,103.6200027,Lanzhou Zhongchuan Airport,Asia/Shanghai,540.3190850920585,Domestic,76.0,3U8569,,2016-03-21 10:30:00,2016-03-21 02:30:00,2016-03-21 08:50:00,2016-03-21 00:50:00,01:40:00,,FlightStats,,2016-03-21 00:06:00,0 days 01:00:00
17,2016-03-24 17:45:00,2016-03-24 09:45:00,2016-03-24 15:44:00,2016-03-24 07:44:00,02:01:00,A320,China Eastern,XIY,Xi'an,1.0,China,-5.0,34.447102,108.751999,Xi'an Xianyang International Airport,Asia/Shanghai,Economy,2016-03-24 00:00:00,DNH,Dunhuang,China,4.0,40.16109848,94.80919647,Dunhuang Airport,Asia/Shanghai,861.8656048852403,Domestic,121.0,MU2117,B1837,2016-03-24 17:50:00,2016-03-24 09:50:00,2016-03-24 15:40:00,2016-03-24 07:40:00,02:10:00,,FlightStats,,2016-03-21 02:22:00,3 days 05:22:00
18,2016-03-24 22:15:00,2016-03-24 14:15:00,2016-03-24 20:50:00,2016-03-24 12:50:00,01:25:00,A321,China Eastern,PEK,Beijing,,China,-35.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2016-03-24 00:00:00,XIY,Xi'an,China,0.0,34.447102,108.751999,Xi'an Xianyang International Airport,Asia/Shanghai,580.3279574421085,Domestic,85.0,MU2117,B1837,2016-03-24 22:50:00,2016-03-24 14:50:00,2016-03-24 20:50:00,2016-03-24 12:50:00,02:00:00,,FlightStats,,2016-03-24 09:45:00,0 days 03:05:00
19,2016-03-28 14:30:00,2016-03-28 18:30:00,2016-03-28 14:00:00,2016-03-28 06:00:00,12:30:00,B788,Hainan,BOS,Boston,,United States,-40.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Lie-flat Business,2016-03-28 00:00:00,PEK,Beijing,China,10.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6736.622182955974,International,750.0,HU481,B2750,2016-03-28 15:10:00,2016-03-28 19:10:00,2016-03-28 13:50:00,2016-03-28 05:50:00,13:20:00,,FlightStats,,2016-03-24 14:15:00,3 days 15:45:00
20,2016-06-06 18:48:00,2016-06-06 10:48:00,2016-06-05 17:19:00,2016-06-05 21:19:00,13:29:00,B788,Hainan,PEK,Beijing,,China,-17.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2016-06-05 00:00:00,BOS,Boston,United States,9.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,6736.622182955974,International,809.0,HU482,B2730,2016-06-06 19:05:00,2016-06-06 11:05:00,2016-06-05 17:10:00,2016-06-05 21:10:00,13:55:00,48K,FlightStats,,2016-03-28 18:30:00,69 days 02:49:00
21,2016-07-03 15:42:00,2016-07-03 20:42:00,2016-07-03 17:01:00,2016-07-03 09:01:00,11:41:00,B744,United,ORD,Chicago,,United States,-33.0,41.9786,-87.9048,Chicago O'Hare International Airport,America/Chicago,Economy,2016-07-03 00:00:00,PEK,Beijing,China,51.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6578.877648816723,International,701.0,UA850,N122UA,2016-07-03 16:15:00,2016-07-03 21:15:00,2016-07-03 16:10:00,2016-07-03 08:10:00,13:05:00,,FlightStats,,2016-06-05 10:48:00,27 days 22:13:00
